"gameid","roundNum","condition","target_sub","target_basic","target_super","alt1_sub","alt1_basic","alt1_super","alt2_sub","alt2_basic","alt2_super","speakerMessages","listenerMessages","refExp","sub","basic","super","freq_sub","freq_basic","freq_super","log_freq_sub","log_freq_basic","log_freq_super","diff_logfreq_subbasic","diff_logfreq_subsuper","mean_length_sub","mean_length_basic","mean_length_super","precoded_length_sub","precoded_length_basic","precoded_length_super","ratio_length_subbasic","ratio_length_subsuper","redCondition","typ_sub","typ_basic","typ_super","ratio_typ_subbasic","ratio_typ_subsuper","binaryCondition","trial_inds"
"1511-d",36,"basic12","goldfish","fish","animal","bison",NA,"animal","discusfish","fish","animal","gold fish","","gold fish",TRUE,FALSE,FALSE,1.49e-07,5.83e-05,0.000117655,-15.719319531001,-9.74990846460783,-9.04775394475643,-5.96941106639312,-6.67156558624452,7.87,4,6,8,4,6,1.9675,1.31166666666667,"sub_necessary",0.963571428571429,0.941176470588235,0.746153846153846,1.02379464285714,1.29138438880707,"sub_necessary",1093
"1511-d",37,"basic33","skittles","candy","snack","gloves",NA,"clothing","kitten",NA,"animal","skittles","","skittles",TRUE,FALSE,FALSE,9.14e-08,6.34e-06,4.43e-06,-16.2080203584863,-11.9686317895151,-12.3271109739072,-4.23938856897117,-3.88090938457908,6.87,5.05,5,8,5,5,1.36039603960396,1.374,"super_sufficient",0.952631578947368,0.905,0.791818181818182,1.05263157894737,1.20309384252825,"nonsub_sufficient",1094
"1511-d",40,"basic12","pandabear","bear","animal","rhino",NA,"animal","koalabear","bear","animal","panda","","panda",TRUE,FALSE,FALSE,1.87e-08,1.9e-05,0.000117655,-17.7947423130859,-10.8710715787978,-9.04775394475643,-6.92367073428804,-8.74698836832944,5.48,4,6,9,4,6,1.37,0.913333333333333,"sub_necessary",0.9785,0.754,0.90625,1.29774535809019,1.07972413793103,"sub_necessary",1095
"1511-d",41,"basic22","rose","flower","plant","pottedplant",NA,"plant","grasses",NA,"plant","rose","","rose",TRUE,FALSE,FALSE,2.53e-05,4.86e-05,0.000155648,-10.5847061622308,-9.93188702705783,-8.76791351050068,-0.652819135172974,-1.81679265173012,4,5.98,5,4,6,5,0.668896321070234,0.8,"basic_sufficient",0.981666666666667,0.885454545454545,0.850769230769231,1.10865845311431,1.1538577456299,"nonsub_sufficient",1096
"1511-d",46,"basic12","husky","dog","animal","snake",NA,"animal","greyhound","dog","animal","wolf","","wolf",TRUE,FALSE,FALSE,2.26e-07,6.42e-05,0.000117655,-15.3027308376741,-9.65350734726836,-9.04775394475643,-5.64922349040577,-6.2549768929177,4.68,3.05,6,5,3,6,1.5344262295082,0.78,"sub_necessary",0.932142857142857,0.863333333333333,0.94,1.07970215113072,0.991641337386018,"sub_necessary",1097
"1511-d",47,"basic12","daisy","flower","plant","rosemary",NA,"plant","lily","flower","plant","sunflower","","sunflower",TRUE,FALSE,FALSE,3.37e-06,4.86e-05,0.000155648,-12.6005978136,-9.93188702705783,-8.76791351050068,-2.66871078654218,-3.83268430309932,5.91,5.98,5,5,6,5,0.988294314381271,1.182,"sub_necessary",0.852941176470588,0.970769230769231,0.849,0.878624032814393,1.00464213954133,"sub_necessary",1098
"1511-d",49,"basic33","hawaiishirt","shirt","clothing","bookcase",NA,"furniture","bison",NA,"animal","shirt","","shirt",FALSE,TRUE,FALSE,2.97e-10,2.16e-05,2.35e-05,-21.9372889771258,-10.7428172432742,-10.6585101368142,-11.1944717338517,-11.2787788403117,12.62,5,8,11,5,8,2.524,1.5775,"super_sufficient",0.932777777777778,0.811739130434783,0.767,1.14911027792656,1.21613791105317,"nonsub_sufficient",1099
"1511-d",51,"basic23","mnms","candy","snack","hamster",NA,"animal","pretzels",NA,"snack","mms","","mms",TRUE,FALSE,FALSE,1.59e-10,6.34e-06,4.43e-06,-22.5621169137083,-11.9686317895151,-12.3271109739072,-10.5934851241932,-10.2350059398011,4.41,5.05,5,4,5,5,0.873267326732673,0.882,"basic_sufficient",0.923333333333333,0.8985,0.827222222222222,1.02763865702096,1.11618535930154,"nonsub_sufficient",1100
"1511-d",53,"basic22","pug","dog","animal","rabbit",NA,"animal","lion",NA,"animal","dog","","dog",FALSE,TRUE,FALSE,3.57e-07,6.42e-05,0.000117655,-14.8455300551668,-9.65350734726836,-9.04775394475643,-5.19202270789841,-5.79777611041034,3.04,3.05,6,3,3,6,0.99672131147541,0.506666666666667,"basic_sufficient",0.941764705882353,0.907826086956522,0.867,1.0373844940275,1.08623380147907,"nonsub_sufficient",1101
"1511-d",57,"basic23","diningtable","table","furniture","wardrobe",NA,"furniture","chips",NA,"snack","table","","table",FALSE,TRUE,FALSE,5.4e-07,0.000309774,1.8e-05,-14.4316966973881,-8.07966755861639,-10.9251388000681,-6.3520291387717,-3.50655789731998,12,4.99,9,11,5,9,2.40480961923848,1.33333333333333,"basic_sufficient",0.82375,0.927619047619048,0.905,0.888026180698152,0.910220994475138,"nonsub_sufficient",1102
